English Name,stop_lat,stop_lon,English Name in 2011 Network
Admiralty,22.2794,114.1646,Admiralty
Airport,22.316,113.9366,Airport
AsiaWorld-Expo,22.3218,113.9412,AsiaWorld-Expo
Austin,22.3046,114.1665,Austin
Causeway Bay,22.2802,114.1835,Causeway Bay
Central,22.2816,114.1571,Central
Chai Wan,22.2644,114.2368,Chai Wan
Che Kung Temple,22.3748,114.1861,Che Kung Temple
Cheung Sha Wan,22.3354,114.1516,Cheung Sha Wan
Choi Hung,22.3348,114.2089,Choi Hung
City One,22.3832,114.2035,City One
Diamond Hill,22.3401,114.2016,Diamond Hill
Disneyland Resort,22.3155,114.0451,Disneyland Resort
East Tsim Sha Tsui,22.2955,114.1754,East Tsim Sha Tsui
Fanling,22.4921,114.1387,Fanling
Fo Tan,22.3953,114.1982,Fo Tan
Fortress Hill,22.2881,114.1936,Fortress Hill
Hang Hau,22.3156,114.2644,Hang Hau
Heng Fa Chuen,22.2769,114.2398,Heng Fa Chuen
Heng On,22.4174,114.2258,Heng On
Hin Keng,22.36383523,114.170786,
HKU,22.28398409,114.1350415,
Ho Man Tin,22.30935876,114.1827287,
Hong Kong,22.285,114.158,Hong Kong
Hung Hom,22.3029,114.1816,Hung Hom
Jordan,22.3049,114.1718,Jordan
Kai Tak,22.33057069,114.1995493,
Kam Sheung Road,22.4348,114.0634,Kam Sheung Road
Kennedy Town,22.28124705,114.1288826,
Kowloon,22.3049,114.1615,Kowloon
Kowloon Bay,22.3235,114.2141,Kowloon Bay
Kowloon Tong,22.337,114.1762,Kowloon Tong
Kwai Fong,22.3569,114.1279,Kwai Fong
Kwai Hing,22.3632,114.1312,Kwai Hing
Kwun Tong,22.3121,114.2265,Kwun Tong
Lai Chi Kok,22.3373,114.1482,Lai Chi Kok
Lai King,22.3484,114.1261,Lai King
Lam Tin,22.3068,114.233,Lam Tin
Lei Tung,22.2419394,114.1561003,
Lo Wu,22.5283,114.1134,Lo Wu
LOHAS Park,22.2957,114.2689,LOHAS Park
Lok Fu,22.338,114.1871,Lok Fu
Lok Ma Chau,22.5144,114.0657,Lok Ma Chau
Long Ping,22.4477,114.0253,Long Ping
Ma On Shan,22.4247,114.2316,Ma On Shan
Mei Foo,22.3381,114.1376,Mei Foo
Mong Kok,22.3192,114.1694,Mong Kok
Mong Kok East,22.3222,114.1728,Mong Kok East
Nam Cheong,22.3268,114.1533,Nam Cheong
Ngau Tau Kok,22.3154,114.2193,Ngau Tau Kok
North Point,22.2909,114.2007,North Point
Ocean Park,22.24869614,114.1744433,
Olympic,22.3178,114.1602,Olympic
Po Lam,22.3224,114.258,Po Lam
Prince Edward,22.3245,114.1683,Prince Edward
Quarry Bay,22.2878,114.2096,Quarry Bay
Sai Wan Ho,22.2816,114.2224,Sai Wan Ho
Sai Ying Pun,22.28553236,114.142733,
Sha Tin,22.3825,114.1875,Sha Tin
Sha Tin Wai,22.3771,114.195,Sha Tin Wai
Sham Shui Po,22.3307,114.1623,Sham Shui Po
Shau Kei Wan,22.2789,114.2289,Shau Kei Wan
Shek Kip Mei,22.332,114.1687,Shek Kip Mei
Shek Mun,22.3877,114.2083,Shek Mun
Sheung Shui,22.5012,114.128,Sheung Shui
Sheung Wan,22.2862,114.1518,Sheung Wan
Siu Hong,22.412,113.9786,Siu Hong
South Horizons,22.24285842,114.1487444,
Sung Wong Toi,22.32591007,114.1913,
Sunny Bay,22.3318,114.0288,Sunny Bay
Tai Koo,22.2846,114.2161,Tai Koo
Tai Po Market,22.4446,114.1706,Tai Po Market
Tai Shui Hang,22.4088,114.223,Tai Shui Hang
Tai Wai,22.3731,114.1786,Tai Wai
Tai Wo,22.4511,114.1611,Tai Wo
Tai Wo Hau,22.3708,114.125,Tai Wo Hau
Tin Hau,22.2827,114.1917,Tin Hau
Tin Shui Wai,22.4481,114.0046,Tin Shui Wai
Tiu Keng Leng,22.3042,114.2524,Tiu Keng Leng
To Kwa Wan,22.31811439,114.1877283,
Tseung Kwan O,22.3074,114.26,Tseung Kwan O
Tsim Sha Tsui,22.2973,114.1722,Tsim Sha Tsui
Tsing Yi,22.3584,114.107,Tsing Yi
Tsuen Wan,22.3736,114.1178,Tsuen Wan
Tsuen Wan West,22.3686,114.1098,Tsuen Wan West
Tuen Mun,22.3952,113.9731,Tuen Mun
Tung Chung,22.2893,113.9416,Tung Chung
University,22.4134,114.2102,University
Wan Chai,22.2773,114.1728,Wan Chai
Whampo,22.30502897,114.1895502,
Wong Chuk Hang,22.2479792,114.1680242,
Wong Tai Sin,22.3417,114.1939,Wong Tai Sin
Wu Kai Sha,22.4291,114.2438,Wu Kai Sha
Yau Ma Tei,22.3129,114.1707,Yau Ma Tei
Yau Tong,22.2979,114.2371,Yau Tong
Yuen Long,22.4461,114.0352,Yuen Long